score,budget,recall
1 - p_noisy,0.05,0.055698799897404054
1 - p_noisy,0.1,0.10780674163370547
1 - p_noisy,0.2,0.21276509577871675
group C*kappa,0.05,0.03473412800194392
group C*kappa,0.1,0.05997813086383088
group C*kappa,0.2,0.13326673596392943
individual x group,0.05,0.03918895203639456
individual x group,0.1,0.09490125140056968
individual x group,0.2,0.2105511832282625
