group,n,n_mis,structure,mean_s,max_s,p90_s,C,kappa,C_kappa
2046,3960,36,0.8055555555555556,0.1866592883913204,0.999999463558197,0.7743652343749998,0.1002619523546347,0.6353684075381486,0.06370327700422998
2535,3547,8,1.0,0.15315297075416257,0.9999761581420898,0.5780273437500002,0.08115667230447111,0.7687777524482826,0.06239144413041309
527,3302,9,0.7777777777777778,0.041671826162892785,0.9999999403953552,0.0673828125,0.021143304638013293,0.5597043557563207,0.011833999700978858
1997,3276,3255,0.38218125960061444,0.11658908530469342,0.999998927116394,0.6622314453125,0.06088678162685037,0.42448270817834177,0.025845385957228746
186,3259,632,0.9889240506329114,0.04310960910846281,0.9999988675117493,0.03271484375,0.02188928021783926,0.6124546958584578,0.013406192458377302
2107,3085,2852,0.9989481065918654,0.12496318749515899,0.9999879002571106,0.7520751953124999,0.06548241893696768,0.4668634516235296,0.030571348125570712
1148,2779,82,0.35365853658536583,0.1432003673352368,0.9999991059303284,0.7371093750000024,0.0755831584977531,0.6238691061323656,0.047153997530654135
3581,2775,1505,1.0,0.08343371943310575,0.9999977350234985,0.20117187499999978,0.04301976661130864,0.679130212653474,0.029216023247040854
4250,2332,111,0.6036036036036037,0.08367829990939048,0.9999166131019592,0.22065429687500004,0.04315334584865421,0.762987366262741,0.03292545769448987
917,2222,81,0.12345679012345678,0.6803858082751558,0.9999926090240479,0.9934871673583985,0.4730212676249322,0.4601191163295909,0.21764612766468672
1164,2180,16,0.625,0.29531794351722124,0.9999852776527405,0.9622406005859375,0.1662032083693296,0.7569214497998156,0.1258027734402938
1149,2095,168,0.9940476190476191,0.21336674843881465,0.9999961256980896,0.947003173828125,0.11589294863776478,0.6458836208617319,0.07485335729850223
1998,1887,1867,0.5120514193893948,0.22593400894679527,0.9999992847442627,0.9230712890625004,0.12337001089958159,0.41698085054699074,0.05144293207689905
3621,1680,12,0.3333333333333333,0.1894267539892878,0.9999964237213135,0.5671386718750003,0.10187388840684197,0.5223220616881747,0.05321097942485274
1156,1602,54,1.0,0.20187981316956985,0.9999829530715942,0.7664428710937503,0.10912701375684189,0.6550945328625117,0.07148851009971922
