score,spearman,spearman_lo,spearman_hi,auroc,auroc_lo,auroc_hi
mean_1mp,0.13,0.031,0.224,0.583,0.52,0.646
p90_1mp,0.21,0.117,0.3,0.622,0.556,0.684
mean_ent,0.177,0.076,0.272,0.613,0.546,0.673
cl_mean,0.093,-0.007,0.191,0.56,0.505,0.624
cl_p90,0.042,-0.052,0.134,0.533,0.502,0.594
C_proj,0.194,0.092,0.282,0.62,0.556,0.679
out_mass,0.123,0.022,0.219,0.579,0.516,0.643
Cproj_kappa,0.195,0.101,0.283,0.623,0.56,0.684
