W,D,H_pbar,C,kappa,score,group,n,true_noise_rate
1.4665946640634981,2.481178959814847,3.947773623878345,0.9936655466428399,0.5445351438390814,1.5347513580119383,Allegro > Automotive > Car Care Products,3152,0.17480964467005075
1.960431569894685,3.313368585048752,5.273800154943437,0.9579466570296113,0.3939816940312687,1.3353601037577283,Allegro > Automotive > Car Equipment and Accessories,13562,0.06510839109275918
1.540212614693853,2.98794960291688,4.528162217610733,0.9989007221066627,0.4764478350871292,1.4748248086213522,Allegro > Automotive > Cars,105,0.11428571428571428
1.4955212587849613,3.4115708881101394,4.907092146895101,0.9858051009044333,0.43469477770724096,1.4143294301047502,Allegro > Automotive > Garage Tools and Equipment,4761,0.13316530140726737
1.6945020118164185,3.219952440203422,4.91445445201984,0.9877022267484181,0.4330637594901593,1.4154402663208898,Allegro > Automotive > Machine and Other Vehicles Parts,3581,0.4247416922647305
1.9975847885574014,3.634108801997507,5.631693590554908,0.9856351330320812,0.35044176703896945,1.3310428507075334,Allegro > Automotive > Motorcycle Parts and Equipment,5317,0.029151777318036486
3.391879081885086,3.411692993229576,6.803572075114662,0.9909360706288404,0.21391794595673452,1.2029150794321994,Allegro > Automotive > Tires and Rims,8253,0.21882951653944022
2.2657706872470533,3.9368178320259735,6.202588519273027,0.944188071154614,0.2870731471344592,1.2152391122277837,Allegro > Beauty > Care,6343,0.11414157338798676
2.8760729770590925,2.985556021577239,5.8616289986363315,0.9767643398377273,0.32357395318453175,1.2928198386087,Allegro > Beauty > Fragrance,1444,0.09556786703601108
1.7831469962942528,3.5122577264257986,5.295404722720051,0.9964261553274819,0.3880384660064856,1.383077832129498,Allegro > Beauty > Make-up,1824,0.07894736842105263
1.797019481562883,3.210211233070338,5.007230714633221,0.9937867927351666,0.4216944271156007,1.412861144972673,Allegro > Beauty > Manicure and pedicure,1823,0.09873834339001646
2.927439997409282,2.929660898394803,5.857100895804085,0.9953414223031176,0.32309113933638145,1.3169274164637264,Allegro > Beauty > Professional salon equipment,649,0.0662557781201849
2.562158648002118,3.9431098177336956,6.5052684657358135,0.8984910243718613,0.25363373417396284,1.1263786580050856,Allegro > Business and Services > Industry,19827,0.5609018005749735
2.0362193962302526,3.5162897236714286,5.552509119901681,0.9850952605349874,0.35985555396024593,1.339587261218418,Allegro > Business and Services > Office and advertising,3261,0.2490033731984054
2.1598676234469765,3.321723017066073,5.4815906405130495,0.988861773840072,0.36728782348294353,1.3520586624792748,Allegro > Collections and Art > Antiques and Art,1354,0.5243722304283605
1.8602006730153549,3.945325518388191,5.805526191403546,0.9819231870214117,0.3310217981669047,1.3069611660510172,Allegro > Collections and Art > Collections,2097,0.3524082021936099
2.2546863203560834,3.606380900698573,5.861067221054657,0.9770188158885427,0.3247496691951648,1.2943053531457984,Allegro > Collections and Art > Handmade,3467,0.2538217479088549
2.4627397365853767,4.42866740541043,6.891407141995806,0.8014929114576823,0.20999439883899984,0.9698019335729581,Allegro > Culture and Entertainment > Books and Comics,47058,0.1727004102803937
1.5532236651290776,2.365954559489622,3.9191782246186997,0.9995920493013595,0.5467996893713853,1.5461686713574494,Allegro > Culture and Entertainment > Coupons and Top-Ups,59,0.2033898305084746
1.9879589096290704,2.6515091085556115,4.639468018184682,0.9827791617601574,0.46464563844615736,1.4394232128277853,Allegro > Culture and Entertainment > Gadgets,1846,0.08559046587215602
2.295992824080107,3.627378847694652,5.923371671774759,0.9839264757615627,0.3166209321916216,1.2954581937252057,Allegro > Culture and Entertainment > Games,2915,0.18456260720411663
2.853525301997911,2.6707659076001202,5.524291209598031,0.9886623982724467,0.3624279340100238,1.3469812687117249,Allegro > Culture and Entertainment > Movies,1775,0.1267605633802817
1.8370833602263952,2.8560260168345186,4.693109377060914,0.7596667399780447,0.4682466228141007,1.1153781254369617,Allegro > Culture and Entertainment > Music,4216,0.014705882352941176
2.0798449778118555,2.3513817350493214,4.431226712861177,0.9964648837124224,0.48805540069175735,1.482794951807954,Allegro > Culture and Entertainment > Musical Instruments,699,0.1430615164520744
2.1923083765932443,4.3559815202143675,6.548289896807612,0.8868135081801811,0.24865130879660724,1.107320847647694,"Allegro > Electronics > Audio, Video and Household Appliances",13528,0.3144589000591366
1.376115595669895,4.042624783179897,5.418740378849792,0.8909922658226952,0.38018468620662005,1.229733880817022,Allegro > Electronics > Computers,15996,0.09389847461865466
2.8085760312650585,2.94588775547256,5.7544637867376185,0.9966190040868786,0.33489751641563026,1.3303842333681932,Allegro > Electronics > Consoles and Gaming Machines,656,0.3826219512195122
1.4174803872277661,3.161244125376801,4.578724512604567,0.42327230894371703,0.21314962727651576,0.5134926438315406,Allegro > Electronics > Phones and Accessories,28987,0.1040466415979577
2.4161311982590217,3.526195054197057,5.942326252456079,0.989517091976887,0.31386746195676174,1.300094310198508,Allegro > Electronics > Photography,1330,0.08345864661654136
