N,T,n_groups,p90_sp,p90_au,guard_sp,guard_au
50,1.0,21,0.3345423809492047,,0.3328044984507673,
200,1.0,90,0.3806005213282492,0.7585585585585586,0.2820094305176178,0.7063063063063064
1000,1.0,300,0.32105014389324793,0.724,0.2379936229065092,0.6947
5691,1.0,645,0.3027835971349166,0.6864683612763656,0.050745935218907155,0.5365711195240671
