group,n,true_noise,mean_1mp,p90_1mp,mean_ent,C_full,C_proj,out_mass,Cproj_kappa
Allegro > Electronics > Phones and Accessories > GSM Accessories,25233,0.05587920580192605,0.09711141884326935,0.365234375,0.4013308882713318,0.04003849711698444,0.006795800900580235,0.06543960395260129,0.005758342433230283
"Allegro > Fashion > Clothing, Shoes, Accessories > Women's Clothing",19757,0.019334919269119805,0.24492113292217255,0.91229248046875,0.629555344581604,0.053110772617014926,0.0032112444298776945,0.0966272637954746,0.001288064638370654
"Allegro > Fashion > Clothing, Shoes, Accessories > Men's Clothing",17652,0.010650351234987537,0.1580217182636261,0.6767333745956421,0.5114734768867493,0.06418198702359051,0.001983432693462852,0.11924938392928197,0.001046088410059031
Allegro > Home and Garden > Equipment > Decorations and Ornaments,13347,0.022701730726005846,0.26681625843048096,0.967510998249054,1.0537254810333252,0.11228768186426413,0.018444216439846554,0.1790756480456417,0.014416621809955897
Allegro > Automotive > Car Parts > Suspension system,13324,0.0009006304413089162,0.15561683475971222,0.815673828125,0.4597249925136566,0.030317515709894646,0.0014295904955198067,0.05668899105569325,0.0007152930178141698
Allegro > Automotive > Car Parts > Brake system,12617,0.012364270428786558,0.24508193135261536,0.8778320550918579,0.5928822755813599,0.025667460494705453,0.0008041773816207026,0.04889814011068205,0.0004245527631971442
Allegro > Business and Services > Industry > Workwear and safety,9445,0.7265219692959237,0.2862914204597473,0.9689880609512329,1.1168736219406128,0.09973458981603048,0.01295666196787789,0.16552761744544142,0.010135385338577529
"Allegro > Fashion > Clothing, Shoes, Accessories > Footwear",9186,0.10037012845634662,0.3527538776397705,0.9656829833984375,1.1412867307662964,0.0678269309241544,0.010146169059780778,0.11204282204595595,0.005269104971480752
Allegro > Automotive > Car Parts > Filters,8358,0.0003589375448671931,0.06060618534684181,0.05986328050494194,0.22284506261348724,0.01922981481431684,0.0005753492861914787,0.036852089304420854,0.00021963031148723087
"Allegro > Fashion > Clothing, Shoes, Accessories > Accessories",7743,0.041456799690042616,0.4000287353992462,0.9746246337890625,1.572484016418457,0.14887039469570063,0.017010645619428374,0.24440834993511218,0.00844850980159868
Allegro > Culture and Entertainment > Books and Comics > Foreign Books,6898,0.009712960278341549,0.8334327340126038,0.9980713129043579,2.9465532302856445,0.2827108640000473,0.006350591129171097,0.4574209302361374,0.0031987773672623784
Allegro > Automotive > Car Parts > Body parts,6362,0.013832128261552971,0.3009950518608093,0.993411660194397,1.2310521602630615,0.137268681508126,0.02851042518767305,0.2078083179649861,0.013484240850496711
Allegro > Culture and Entertainment > Books and Comics > Children's Books,6059,0.09688067337844529,0.7305168509483337,0.9961532354354858,2.627253770828247,0.2770421048456706,0.009083625901985356,0.44712562855369375,0.0066787458208954235
